Wall time,Step,Value
1731246220.3390536,3,0.0009997831657528877
1731246222.3654046,4,0.0009996144799515605
1731246234.2963994,10,0.0009975923458114266
1731246241.5565352,14,0.0009952846448868513
1731246243.3969293,15,0.0009945882484316826
1731246249.4559584,18,0.0009922132594510913
1731246251.2372682,19,0.0009913266403600574
1731246253.0139265,20,0.0009903926402330399
1731246256.677802,22,0.0009883829625323415
1731246258.4576664,23,0.0009873074013739824
1731246264.0146904,26,0.0009837995748966932
1731246266.024096,27,0.0009825368179008365
1731246287.5800436,38,0.00096560746897012
1731246291.3745613,40,0.0009619397460483015
1731246304.8713377,47,0.0009477103012613952
1731246306.8188288,48,0.0009455032413825393
1731246308.6661518,49,0.0009432532824575901
1731246312.4608629,51,0.0009386254823766649
1731246318.1217961,54,0.0009313672198913991
1731246324.0502887,57,0.0009237347985617816
1731246329.8312752,60,0.0009157347958534956
1731246331.8018026,61,0.0009129876852966845
1731246333.8114645,62,0.0009102007024921477
1731246335.819221,63,0.0009073742548935115
1731246379.595594,65,0.000901603780221194
1731246381.316049,66,0.0008986603352241218
1731246383.0351033,67,0.0008956784731708467
1731246384.7535753,68,0.0008926584850996733
1731246388.2056274,70,0.0008865052368491888
1731246389.9243898,71,0.0008833725587464869
1731246400.2521763,77,0.0008638115832582116
1731246403.7128503,79,0.00085700728232041
1731246409.3489373,82,0.0008465436985716224
1731246414.9406884,85,0.0008357794722542167
1731246422.7460296,89,0.0008209758088923991
1731246440.6637259,99,0.0007818531594239175
1731246447.8124592,103,0.0007654220098629594
1731246453.1086502,106,0.0007528286660090089
1731246454.841991,107,0.0007485816604457796
1731246458.637304,109,0.0007400160538963974
1731246470.8778121,116,0.000709329848177731
1731246480.3305218,121,0.0006867974880151451
1731246487.727637,125,0.0006684449035674334
1731246489.693026,126,0.0006638150662183762
1731246535.1632166,128,0.0006545084761455655
1731246538.6989908,130,0.0006451423396356404
1731246549.2305994,136,0.0006167226820252836
1731246550.9710119,137,0.0006119440076872706
1731246563.2144954,144,0.0005782172083854675
1731246566.8978214,146,0.0005685061914846301
1731246568.8445487,147,0.0005636404966935515
1731246574.257922,150,0.0005490085459314287
1731246586.501354,157,0.0005147240590304136
1731246591.6817012,160,0.0005000000237487257
1731246595.1669,162,0.0004901831271126866
1731246599.1000397,164,0.00048037010128609836
1731246610.0956266,170,0.0004509914433583617
1731246611.8247604,171,0.0004461087810341269
1731246613.5489295,172,0.00044123129919171333
1731246622.225234,177,0.00041693830280564725
1731246629.679355,181,0.00039764519897289574
1731246634.9947376,184,0.0003832773072645068
1731246636.7143848,185,0.00037850989610888064
1731246638.4355438,186,0.0003737542137969285
1731246645.3939126,190,0.00035485764965415
1731246647.1184928,191,0.0003501673636492342
1731246687.810225,192,0.0003454915131442249
1731246700.2785068,199,0.00031320250127464533
1731246705.4939332,202,0.0002996255934704095
1731246707.2167728,203,0.00029513798654079437
1731246709.047474,204,0.00029067014111205935
1731246710.8317592,205,0.00028622246463783085
1731246714.476058,207,0.00027738933567889035
1731246721.57838,211,0.00025998393539339304
1731246725.229647,213,0.0002514183579478413
1731246728.7466047,215,0.00024294863396789879
1731246736.413026,219,0.00022630966850556433
1731246738.3480797,220,0.00022221489052753896
1731246740.0691779,221,0.00021814687352161855
1731246745.2963746,224,0.0002061073755612597
1731246754.157668,229,0.000186613091500476
1731246772.0256507,239,0.0001499345962656662
1731246775.5629883,241,0.00014299270696938038
1731246781.4221635,244,0.0001328387443209067
1731246783.3487475,245,0.00012952444376423955
1731246785.0959928,246,0.00012624583905562758
1731246799.1719866,254,0.00010133967589354143
1731246845.3977797,258,8.97992795216851e-05
1731246847.1467695,259,8.701233309693635e-05
1731246848.905032,260,8.42651934362948e-05
1731246868.6030054,271,5.674669228028506e-05
1731246873.8748424,274,5.01258582517039e-05
1731246877.4578726,276,4.592841287376359e-05
1731246881.00168,278,4.190601976006292e-05
1731246884.465881,280,3.806023232755251e-05
1731246887.9611433,282,3.439253123360686e-05
1731246889.7909515,283,3.262591053498909e-05
1731246893.2858884,285,2.922796738857869e-05
1731246898.5709927,288,2.4471741198794916e-05
1731246902.065099,290,2.152983142877929e-05
1731246910.6957862,295,1.4984373592596967e-05
1731246912.4577444,296,1.381503989250632e-05
1731246914.263397,297,1.269256608793512e-05
1731246916.1441534,298,1.1617059499258175e-05
1731246930.0606654,306,4.715329851023853e-06
1731246933.5232112,308,3.4657714422792196e-06
1731246940.4600658,312,1.5413331766467309e-06
1731246947.3526435,316,3.8548188285858487e-07
1731246950.8876317,318,9.63797575082026e-08
1731246952.8419907,319,2.4095520245737134e-08
1731246998.3435283,322,0.0006999325123615563
1731247024.8959804,337,0.0006951367249712348
1731247026.6257677,338,0.0006945492932572961
1731247035.704063,343,0.0006911152158863842
1731247039.1523151,345,0.0006895109545439482
1731247041.0463936,346,0.0006886596675030887
1731247051.8102524,352,0.000682869809679687
