Wall time,Step,Value
1731822012.192418,276,5.727779921471665e-07
1731822015.7381978,278,6.414838367163611e-07
1731822022.7237437,282,6.34959178569261e-07
1731822028.3125668,285,6.279867079683754e-07
1731822033.6701005,288,5.345608542484115e-07
1731822037.1563854,290,5.701581926587096e-07
1731822046.0119202,295,5.703085435015964e-07
1731822049.6005282,297,9.721936748974258e-07
1731822051.4330947,298,5.792222736999975e-07
1731822065.967759,306,5.166889991414791e-07
1731822069.5835776,308,5.329993655323051e-07
1731822077.1936631,312,5.625013841381588e-07
1731822084.2274528,316,5.852295998920454e-07
1731822087.7296116,318,6.425793799280655e-07
1731822089.5067253,319,5.691904334526043e-07
1731822224.687324,322,6.326745278784074e-07
1731822251.6657052,337,5.052004325989401e-07
1731822253.5268497,338,5.017698185838526e-07
1731822262.336361,343,5.299507392919622e-07
1731822266.025139,345,4.59735161939534e-07
1731822268.0706773,346,4.7566524585818115e-07
1731822278.616627,352,4.774785793415504e-07
1731822282.3607295,354,4.694672952609835e-07
1731822289.5430338,358,3.9640303839405533e-07
1731822296.6419013,362,4.065706775691069e-07
1731822298.5028648,363,4.254077339282958e-07
1731822300.3649132,364,4.0244862020699657e-07
1731822302.1844363,365,4.211007649246312e-07
1731822303.978065,366,4.45677443394743e-07
1731822305.7944338,367,4.063954861521779e-07
1731822326.8240378,378,3.4285744732187595e-07
1731822482.3028579,386,2.965368537388713e-07
1731822490.7850966,390,2.862968813133193e-07
1731822494.9720767,392,3.5725966540667287e-07
1731822499.186034,394,3.2607704270049e-07
1731822505.479365,397,2.9742534479737515e-07
1731822515.7250018,402,3.127300374217157e-07
1731822519.855684,404,2.8060173917765496e-07
1731822530.0482678,409,2.5853648821794195e-07
1731822540.4897053,414,2.2722824155607668e-07
1731822542.5722702,415,2.579571400929126e-07
1731822555.1355612,421,2.78504074913144e-07
1731822557.2263618,422,2.5694339456094895e-07
1731822563.458464,425,2.584440608188743e-07
1731822565.4886549,426,2.005901649226871e-07
1731822573.121739,430,1.98908907123041e-07
1731822582.632573,435,1.8869829432333063e-07
1731822584.694902,436,1.9788967620115727e-07
1731822586.6893432,437,2.1439582553739456e-07
1731822590.907229,439,2.0343730966487783e-07
