Output,Target,Error
3.776481375098228455e-02,3.780199959874153137e-02,3.718584775924682617e-05
-6.727488338947296143e-02,-6.747700273990631104e-02,2.021193504333496094e-04
-2.485758438706398010e-02,-2.479499951004981995e-02,6.258487701416015625e-05
-1.598574686795473099e-03,-1.550000044517219067e-03,4.857464227825403214e-05
1.836888492107391357e-02,1.828799955546855927e-02,8.088536560535430908e-05
-7.149687735363841057e-04,-9.299999801442027092e-04,2.150312066078186035e-04
4.820594564080238342e-03,4.650000017136335373e-03,1.705945469439029694e-04
6.094250455498695374e-02,6.099399924278259277e-02,5.149468779563903809e-05
6.064904853701591492e-02,6.068500131368637085e-02,3.595277667045593262e-05
-3.055272996425628662e-02,-3.068000078201293945e-02,1.272708177566528320e-04
5.155258812010288239e-03,4.960000049322843552e-03,1.952587626874446869e-04
5.886298604309558868e-03,5.890000145882368088e-03,3.701541572809219360e-06
-6.195588782429695129e-02,-6.192100048065185547e-02,3.488734364509582520e-05
4.133897274732589722e-02,4.120700061321258545e-02,1.319721341133117676e-04
4.250499233603477478e-02,4.244399815797805786e-02,6.099417805671691895e-05
7.336104661226272583e-02,7.333800196647644043e-02,2.304464578628540039e-05
-4.239473864436149597e-02,-4.244399815797805786e-02,4.925951361656188965e-05
-5.896686762571334839e-02,-5.914099887013435364e-02,1.741312444210052490e-04
7.780264317989349365e-02,7.796200364828109741e-02,1.593604683876037598e-04
6.706400215625762939e-02,6.685999780893325806e-02,2.040043473243713379e-04
3.697174042463302612e-02,3.718300163745880127e-02,2.112612128257751465e-04
6.977669149637222290e-02,6.994599848985671997e-02,1.693069934844970703e-04
-3.363637998700141907e-02,-3.408699855208396912e-02,4.506185650825500488e-04
-6.188326328992843628e-02,-6.192100048065185547e-02,3.773719072341918945e-05
7.334985584020614624e-02,7.333800196647644043e-02,1.185387372970581055e-05
3.463090583682060242e-02,3.439600020647048950e-02,2.349056303501129150e-04
6.572952121496200562e-02,6.562600284814834595e-02,1.035183668136596680e-04
-6.830761581659317017e-02,-6.840299814939498901e-02,9.538233280181884766e-05
-2.937299758195877075e-02,-2.944100089371204376e-02,6.800331175327301025e-05
-1.694473437964916229e-02,-1.704799942672252655e-02,1.032650470733642578e-04
-3.538573160767555237e-02,-3.532499819993972778e-02,6.073340773582458496e-05
-1.807865127921104431e-02,-1.797799952328205109e-02,1.006517559289932251e-04
5.359808914363384247e-03,5.270000081509351730e-03,8.980883285403251648e-05
-3.061824478209018707e-02,-3.068000078201293945e-02,6.175599992275238037e-05
5.555125698447227478e-02,5.543300136923789978e-02,1.182556152343750000e-04
-3.141123056411743164e-02,-3.130000084638595581e-02,1.112297177314758301e-04
-7.455627899616956711e-03,-7.439999841153621674e-03,1.562805846333503723e-05
-5.384587869048118591e-02,-5.388800054788589478e-02,4.212185740470886230e-05
5.674984678626060486e-02,5.666900053620338440e-02,8.084625005722045898e-05
-6.620293855667114258e-02,-6.624300032854080200e-02,4.006177186965942383e-05
-2.443809434771537781e-02,-2.448499947786331177e-02,4.690513014793395996e-05
3.475855290889739990e-02,3.470600023865699768e-02,5.255267024040222168e-05
2.871087566018104553e-02,2.882199920713901520e-02,1.111235469579696655e-04
-1.669522561132907867e-02,-1.673799939453601837e-02,4.277378320693969727e-05
-1.177854253910481930e-03,-1.240000012330710888e-03,6.214575842022895813e-05
-1.590356230735778809e-02,-1.580899953842163086e-02,9.456276893615722656e-05
5.975300073623657227e-02,5.975899845361709595e-02,5.997717380523681641e-06
5.078194290399551392e-02,5.079599842429161072e-02,1.405552029609680176e-05
2.431384054943919182e-03,2.790000056847929955e-03,3.586160019040107727e-04
7.605592161417007446e-02,7.580400258302688599e-02,2.519190311431884766e-04
7.760165631771087646e-02,7.734499871730804443e-02,2.566576004028320312e-04
7.320440560579299927e-02,7.333800196647644043e-02,1.335963606834411621e-04
7.529407739639282227e-02,7.518800348043441772e-02,1.060739159584045410e-04
-2.275082468986511230e-02,-2.262599952518939972e-02,1.248251646757125854e-04
-1.073514949530363083e-02,-1.054000016301870346e-02,1.951493322849273682e-04
2.121540531516075134e-02,2.138699963688850403e-02,1.715943217277526855e-04
-1.159963663667440414e-03,-1.240000012330710888e-03,8.003634866327047348e-05
7.647476345300674438e-02,7.642100006341934204e-02,5.376338958740234375e-05
5.972970277070999146e-02,5.975899845361709595e-02,2.929568290710449219e-05
-3.160713240504264832e-02,-3.160899877548217773e-02,1.866370439529418945e-06
-3.355968371033668518e-02,-3.377699851989746094e-02,2.173148095607757568e-04
4.648218303918838501e-02,4.646699875593185425e-02,1.518428325653076172e-05
2.444553375244140625e-02,2.448499947786331177e-02,3.946572542190551758e-05
-2.252023294568061829e-02,-2.262599952518939972e-02,1.057665795087814331e-04
2.221105620265007019e-02,2.200599946081638336e-02,2.050567418336868286e-04
1.077747158706188202e-02,1.054000016301870346e-02,2.374714240431785583e-04
5.171937867999076843e-02,5.172400176525115967e-02,4.623085260391235352e-06
6.491491198539733887e-02,6.500799953937530518e-02,9.308755397796630859e-05
-1.304126251488924026e-02,-1.301900018006563187e-02,2.226233482360839844e-05
1.253474969416856766e-02,1.239900011569261551e-02,1.357495784759521484e-04
-5.436226725578308105e-02,-5.419699847698211670e-02,1.652687788009643555e-04
-7.781445980072021484e-02,-7.765399664640426636e-02,1.604631543159484863e-04
-5.758110061287879944e-02,-5.759600177407264709e-02,1.490116119384765625e-05
-7.341495901346206665e-02,-7.364699989557266235e-02,2.320408821105957031e-04
3.123729117214679718e-02,3.130000084638595581e-02,6.270967423915863037e-05
-3.287564218044281006e-02,-3.284800052642822266e-02,2.764165401458740234e-05
-5.353557690978050232e-02,-5.357899889349937439e-02,4.342198371887207031e-05
-2.040125615894794464e-02,-2.045699954032897949e-02,5.574338138103485107e-05
7.862323895096778870e-03,7.749999873340129852e-03,1.123240217566490173e-04
7.442668825387954712e-02,7.426299899816513062e-02,1.636892557144165039e-04
2.388498932123184204e-02,2.386499941349029541e-02,1.998990774154663086e-05
6.217180564999580383e-02,6.222999840974807739e-02,5.819275975227355957e-05
2.016401849687099457e-02,2.014699950814247131e-02,1.701898872852325439e-05
7.933402061462402344e-02,7.919400185346603394e-02,1.400187611579895020e-04
2.384389564394950867e-02,2.386499941349029541e-02,2.110376954078674316e-05
-2.291625132784247398e-03,-2.480000024661421776e-03,1.883748918771743774e-04
-1.169433817267417908e-02,-1.177900005131959915e-02,8.466187864542007446e-05
-7.715900242328643799e-02,-7.703699916601181030e-02,1.220032572746276855e-04
-2.319940365850925446e-02,-2.324599958956241608e-02,4.659593105316162109e-05
-4.246428981423377991e-02,-4.244399815797805786e-02,2.029165625572204590e-05
-5.631455034017562866e-02,-5.635999888181686401e-02,4.544854164123535156e-05
-3.166354028508067131e-03,-3.100000089034438133e-03,6.635393947362899780e-05
6.832836568355560303e-02,6.840299814939498901e-02,7.463246583938598633e-05
1.194992940872907639e-02,1.208900008350610733e-02,1.390706747770309448e-04
1.053745951503515244e-02,1.054000016301870346e-02,2.540647983551025391e-06
6.376246362924575806e-02,6.377299875020980835e-02,1.053512096405029297e-05
-7.443044800311326981e-03,-7.439999841153621674e-03,3.044959157705307007e-06
4.297441616654396057e-02,4.306299984455108643e-02,8.858367800712585449e-05
-2.223134413361549377e-02,-2.231599949300289154e-02,8.465535938739776611e-05
-7.449577003717422485e-02,-7.457099854946136475e-02,7.522851228713989258e-05
6.691253185272216797e-02,6.685999780893325806e-02,5.253404378890991211e-05
-3.361003845930099487e-02,-3.346699848771095276e-02,1.430399715900421143e-04
-1.955877291038632393e-03,-1.859999960288405418e-03,9.587733075022697449e-05
6.229889765381813049e-02,6.222999840974807739e-02,6.889924407005310059e-05
7.038974016904830933e-02,7.025399804115295410e-02,1.357421278953552246e-04
3.530333191156387329e-02,3.532499819993972778e-02,2.166628837585449219e-05
3.892295435070991516e-02,3.903999924659729004e-02,1.170448958873748779e-04
