Wall time,Step,Value
1731454536.9181256,439,2.23116529696199e-07
1731454544.390644,446,2.1621468704324798e-07
1731454550.8498113,452,3.433367794514197e-07
1731454555.3210924,456,2.796524825043889e-07
1731454561.0236557,461,2.754566139628878e-07
1731454565.3898752,465,2.87827617739822e-07
1731454568.533306,468,3.4027786455226305e-07
1731454570.6759448,470,3.580831560157094e-07
1731454575.084315,474,3.98804246515283e-07
1731454576.3003035,475,2.546173902828741e-07
1731454582.2261078,480,1.9374147086637095e-07
1731454583.4062757,481,2.228249655900072e-07
1731454590.4681082,487,1.7962483411793073e-07
1731454598.529207,494,2.050807665909815e-07
1731454616.3390932,510,1.7365667304147792e-07
1731454618.5796773,512,2.1457023535731423e-07
1731454619.7072556,513,1.432959919611676e-07
1731454620.8117068,514,2.0202232065003045e-07
1731454624.1625001,517,1.8030911519417714e-07
1731454626.4379854,519,1.6596588636730303e-07
1731454642.5335114,533,2.7256888301963045e-07
1731454643.6345465,534,2.420500209154852e-07
1731454645.8207529,536,2.809201475884038e-07
1731454648.039002,538,2.3788608416452917e-07
1731454650.2494276,540,2.2681155087411753e-07
1731454654.6552658,544,1.5511537299062184e-07
1731454656.8510652,546,1.7601961133095756e-07
1731454661.2929323,550,1.9427568531682482e-07
1731454663.6136203,552,1.802197147071638e-07
1731454668.1728065,556,2.1712693865083565e-07
1731454674.9544926,562,1.694168645371974e-07
1731454677.2989824,564,1.6012631931516808e-07
1731454682.0161355,568,1.8447209981786727e-07
1731454701.0262372,584,1.501737898479405e-07
1731454702.2234628,585,1.226508032914353e-07
1731454705.8456333,588,1.4249746982386569e-07
1731454708.2377486,590,1.7069272928438295e-07
1731454713.095773,594,1.326821603697681e-07
1731454715.47248,596,1.2561885398554296e-07
1731454797.2684855,613,1.5960058874497918e-07
1731454798.402492,614,1.1861035176252699e-07
1731454807.2247152,622,1.3624868699935178e-07
1731454808.3569694,623,1.0490372659432978e-07
1731454814.1141002,628,1.5852845081099076e-07
1731454815.176535,629,1.630420740639238e-07
1731454819.524752,633,1.5685012044741597e-07
1731454823.7467227,637,1.1162223501059998e-07
1731454830.2048132,643,1.1210951100792954e-07
1731454831.2416513,644,1.0781673154269811e-07
1731454836.5422478,649,1.0592323462788045e-07
1731454838.8062997,651,1.0792237503665092e-07
1731454846.9178128,658,1.0224166402394985e-07
1731454849.0281732,660,1.205411450655447e-07
1731454856.5458603,667,1.1535198041201511e-07
1731454865.2883239,675,9.609760098783227e-08
1731454866.355414,676,1.1744999994789396e-07
1731454875.0342715,684,9.294785030533603e-08
1731454883.8354218,692,9.909784637329722e-08
1731454886.0674639,694,8.741088208807923e-08
1731454903.780766,710,8.475276302988277e-08
1731454916.0705051,721,1.010345087593123e-07
1731454918.3507483,723,9.665613731613121e-08
1731454920.6138391,725,9.804409728531027e-08
1731454921.7549744,726,9.934451838944369e-08
1731454924.0172262,728,7.967509674244866e-08
1731454925.1496232,729,1.0574868980484098e-07
1731454927.3043628,731,1.0300255581796591e-07
1731454928.355456,732,8.867532841350112e-08
1731454929.4134393,733,9.371797915491697e-08
1731454934.7473526,738,8.717287869330903e-08
1731454941.0847862,744,8.443306853678223e-08
1731454962.5385225,764,8.989647426460579e-08
1731454971.2648153,772,8.285632446813906e-08
1731454974.509564,775,9.258494060304656e-08
1731454975.5941806,776,8.243804217045181e-08
1731454977.8029099,778,6.993583667735948e-08
1731454979.916657,780,7.129574441933073e-08
1731454982.1613352,782,8.16919225599122e-08
1731454988.8140483,788,7.607606988813131e-08
1731455067.3610415,804,7.964633397250509e-08
1731455068.4791083,805,7.891120645808769e-08
1731455070.750159,807,8.515740290704343e-08
1731455074.1593313,810,7.149535008466046e-08
1731455083.0327866,818,7.419807701580794e-08
1731455084.1322386,819,7.741654428627953e-08
1731455094.218323,828,8.810173568463142e-08
1731455098.5876005,832,7.785369859902858e-08
1731455107.438899,840,7.88031968568248e-08
1731455110.762726,843,7.169133908746517e-08
1731455113.0668516,845,7.292545944892481e-08
1731455127.0748239,857,7.163495041595525e-08
1731455132.8971615,862,7.157492376563823e-08
1731455137.536536,866,7.017588643520867e-08
1731455143.3306792,871,6.632914306692328e-08
1731455158.5253031,884,7.381382260973623e-08
1731455160.9280462,886,6.331836033268701e-08
1731455167.5927334,892,7.229640885952904e-08
1731455170.8690438,895,6.827126952657636e-08
1731455173.055668,897,6.73966553677019e-08
1731455177.5304384,901,6.423116616360858e-08
1731455178.624746,902,7.217276731807942e-08
1731455185.4442844,908,7.29024023371494e-08
1731455207.6274607,928,6.662711626859164e-08
1731455209.964821,930,5.723410367863835e-08
1731455212.3236883,932,6.45608508875739e-08
1731455223.4908023,942,6.31375201010087e-08
1731455231.310802,949,6.847471922810655e-08
1731455238.0758038,955,6.834906685071473e-08
1731455247.0631874,963,6.578632394393935e-08
1731455265.734664,979,6.536826901992754e-08
1731455269.0176911,982,7.288048919917856e-08
1731455273.4782937,986,6.672121344308835e-08
1731455280.3548386,992,6.919994177678745e-08
1731455282.5594616,994,6.875186642218978e-08
1731455288.1494555,999,5.858866458652301e-08
1731455291.594157,1002,6.240330918672043e-08
1731455293.857707,1004,6.937956698038761e-08
1731455368.9373674,1015,9.93766420265274e-08
1731455376.5316453,1022,1.1485649764608752e-07
1731455380.9167068,1026,1.0958360263657596e-07
1731455383.0256934,1028,7.903445720103264e-08
1731455391.6030788,1036,7.887246766813405e-08
1731455392.6681445,1037,1.062182590771954e-07
1731455412.991225,1056,1.3017057653996744e-07
1731455417.5490077,1060,1.1090565266158592e-07
1731455428.8741796,1070,7.80860673899042e-08
1731455430.0052547,1071,7.538726976008547e-08
1731455432.2771606,1073,9.033792025547882e-08
1731455436.8208518,1077,8.27862010055469e-08
1731455446.5666125,1086,1.0413438644718553e-07
1731455459.4740808,1098,9.515544263649645e-08
1731455463.9947543,1102,8.408037643903299e-08
1731455466.2676754,1104,1.0576396647365982e-07
1731455469.6664293,1107,1.1970062985255936e-07
1731455471.9129617,1109,6.928329554511947e-08
1731455474.1564846,1111,1.1310717695778294e-07
1731455485.2495658,1121,8.189029898630906e-08
1731455486.3375545,1122,7.940154489460838e-08
1731455489.6251748,1125,5.857420148913661e-08
1731455490.7036989,1126,8.824914488059221e-08
1731455493.8846502,1129,1.000928335770368e-07
1731455497.1284902,1132,6.641607086521617e-08
1731455499.3076935,1134,7.809394730884378e-08
1731455504.918914,1139,8.135356210914324e-08
1731455512.880903,1146,7.090876152915371e-08
1731455518.4858494,1151,6.437055333208264e-08
1731455519.6196363,1152,7.171909288672396e-08
1731455532.9607594,1164,1.215301637103039e-07
1731455543.855776,1174,6.979180255939355e-08
1731455546.1141827,1176,1.512141238890763e-07
1731455547.2326593,1177,1.1111792019846689e-07
1731455555.1208935,1184,1.1235331243142355e-07
1731455560.8171456,1189,7.021927217465418e-08
1731455565.3139305,1193,7.994946571443506e-08
1731455566.4584897,1194,6.538391517096898e-08
1731455643.6746063,1206,8.399226913979874e-08
1731455652.4738278,1214,1.2873211119313055e-07
1731455656.8457768,1218,9.285352575716388e-08
1731455662.2038572,1223,7.919615541140956e-08
1731455664.3870597,1225,5.1375369736206267e-08
1731455668.8822,1229,6.425985077385121e-08
1731455685.6755574,1244,6.612311409526228e-08
1731455687.8477118,1246,6.121255324842423e-08
1731455693.4808266,1251,6.092787430134194e-08
1731455694.626123,1252,8.797297113005698e-08
1731455696.8579898,1254,5.8084754783749304e-08
1731455700.2266705,1257,5.993042151430927e-08
1731455704.7196383,1261,7.884636232802222e-08
1731455711.5164716,1267,6.906138594331424e-08
1731455716.01815,1271,4.9610807906219634e-08
1731455721.489311,1276,5.821351933832375e-08
1731455727.9238262,1282,6.369412375306638e-08
1731455731.0847077,1285,7.185389705455236e-08
1731455736.6109004,1290,5.799994440280898e-08
1731455739.9402618,1293,5.5922942721053914e-08
1731455745.4520981,1298,5.608925945921328e-08
1731455749.9647279,1302,5.830775506865393e-08
1731455754.4721901,1306,5.196423913389481e-08
1731455764.4288263,1315,7.192105044850905e-08
1731455772.2180362,1322,8.752364522024436e-08
1731455775.5873024,1325,7.582868732924908e-08
1731455776.7123623,1326,6.672824781617237e-08
1731455786.84612,1335,5.663050117732382e-08
1731455798.0788906,1345,7.092737774883062e-08
1731455801.4531603,1348,5.625393129093936e-08
1731455808.2093086,1354,5.158221938472707e-08
1731455815.0194745,1360,5.0034728360515146e-08
1731455819.4668612,1364,4.203214487574769e-08
1731455831.606699,1375,5.256036317291546e-08
1731455832.744717,1376,5.964699312244193e-08
1731455837.248657,1380,5.1990276972446736e-08
1731455843.7484224,1386,6.11463448763061e-08
1731455848.2192075,1390,5.563998684010585e-08
1731455851.4297323,1393,4.175143075713095e-08
1731455940.1787,1417,6.16647355400346e-08
1731455960.9918506,1436,4.6346926296791935e-08
1731455963.2701154,1438,4.388607877103823e-08
1731455964.4044588,1439,4.161731226304255e-08
1731455965.548103,1440,4.5947466276174964e-08
1731455975.413698,1449,4.959269617188511e-08
1731455984.1969824,1457,5.117333756743392e-08
1731455985.3044763,1458,4.5634337197952846e-08
1731455987.5855572,1460,3.860435171532117e-08
1731455988.7114384,1461,4.459851155047545e-08
1731456002.730837,1474,4.1801200723057264e-08
1731456004.9760308,1476,4.451664992188853e-08
1731456017.0712972,1487,4.0323925531993154e-08
1731456020.2983737,1490,3.872287024364596e-08
1731456024.7474194,1494,4.024459698825922e-08
1731456028.9717915,1498,4.161070421559998e-08
1731456033.2494507,1502,4.2973194780415724e-08
1731456040.6311903,1509,3.705165596556981e-08
1731456041.6875086,1510,4.3527474957727463e-08
1731456042.7395122,1511,4.2115004816878354e-08
1731456044.8219655,1513,4.24278105981557e-08
1731456047.998529,1516,4.291749888807317e-08
1731456060.8868437,1528,4.891170846121895e-08
1731456067.3950548,1534,4.955958132768501e-08
1731456070.6521785,1537,4.702840428194577e-08
1731456071.7586534,1538,3.5436727330306894e-08
1731456082.9442272,1548,3.428473860367376e-08
1731456086.400515,1551,3.428810302352758e-08
1731456098.6729074,1562,3.351532029682858e-08
1731456101.9247668,1565,4.3588308074049564e-08
1731456105.1055737,1568,4.455126401126108e-08
1731456110.6375406,1573,3.2596329191392215e-08
1731456113.892409,1576,3.7904520411302656e-08
1731456123.7791378,1585,4.2270229982932506e-08
1731456135.8330688,1596,4.282271603983645e-08
1731456141.2752826,1601,3.3400226584490156e-08
1731456143.523298,1603,3.35192886780078e-08
1731456233.066729,1627,4.005606513146631e-08
1731456241.7830684,1635,3.2935844274106785e-08
1731456243.94723,1637,3.8419468495476394e-08
1731456247.3331003,1640,3.3073810357109323e-08
1731456253.8536956,1646,3.322644559489163e-08
1731456254.9108336,1647,3.78764255515307e-08
1731456262.31589,1654,3.0824796937167775e-08
1731456270.767495,1662,4.3680479677732365e-08
1731456274.9541225,1666,3.36926042621144e-08
1731456279.2516696,1670,3.503854628661429e-08
1731456283.4265354,1674,3.293096639822579e-08
1731456286.5846913,1677,2.9772193599342245e-08
1731456288.7260418,1679,3.369018131138546e-08
1731456295.0869896,1685,3.19134407789079e-08
1731456305.206974,1694,3.9930057482706616e-08
1731456314.0230122,1702,3.138590543017017e-08
1731456316.1376004,1704,3.2912716108057793e-08
1731456319.312586,1707,3.668882087026759e-08
1731456321.444597,1709,3.3258327647445185e-08
1731456322.503386,1710,3.1107891373949315e-08
1731456323.5703743,1711,3.855318553291909e-08
1731456331.3079844,1718,4.01604722810589e-08
1731456335.525098,1722,3.201709475320058e-08
1731456336.6161823,1723,3.094829281735656e-08
1731456344.0437617,1730,3.3306132962707125e-08
1731456352.6857955,1738,3.7438091737840296e-08
1731456353.7651646,1739,3.379401647407576e-08
1731456357.9703338,1743,2.9649839916601195e-08
1731456360.0866263,1745,3.353959598939582e-08
1731456369.7173169,1754,3.2664505766888396e-08
1731456381.9416544,1765,3.066590181788342e-08
1731456393.2465436,1775,3.4224477474253945e-08
1731456395.4857974,1777,3.382016444675173e-08
1731456403.4290714,1784,3.368612055965059e-08
1731456404.4960506,1785,3.3954922429302314e-08
